run_id,status,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_loss,joint_l0,joint_l2,joint_decomp,solo_loss,solo_l0,solo_l2,solo_l1,solo_dead,meta_loss,meta_l0,meta_l2
l2_0.001_s2_0.01_md_1024_pt_bat_mt_bat_9f4b86,unknown,0.001,0.01,1024,batchtopk,batchtopk,0.0843,32.0,0.0818,0.0,,,,,,,,
l2_0.001_s2_0.01_md_1024_pt_bat_mt_jum_680f19,success,0.001,0.01,1024,batchtopk,jumprelu,0.0835,32.0,0.0808,0.1136,0.0834,32.0,0.0809,0.0,26,0.4195,35.8,0.4195
l2_0.001_s2_0.01_md_1024_pt_jum_mt_bat_4e5715,success,0.001,0.01,1024,jumprelu,batchtopk,0.009,625.0,0.009,0.0,0.0089,626.2,0.0089,0.0,0,0.5245,4.0,0.5245
l2_0.001_s2_0.01_md_1024_pt_jum_mt_jum_c39cd8,success,0.001,0.01,1024,jumprelu,jumprelu,0.0086,632.1,0.0085,0.0452,0.0089,626.2,0.0089,0.0,0,0.4018,18.2,0.4018
l2_0.001_s2_0.01_md_2048_pt_bat_mt_bat_a77fac,success,0.001,0.01,2048,batchtopk,batchtopk,0.0833,32.0,0.0808,0.0015,0.0834,32.0,0.0809,0.0,26,0.5123,4.0,0.5123
l2_0.001_s2_0.01_md_2048_pt_bat_mt_jum_d9abfa,success,0.001,0.01,2048,batchtopk,jumprelu,0.0831,32.0,0.0805,0.0,0.0834,32.0,0.0809,0.0,26,0.3977,19.3,0.3977
l2_0.001_s2_0.01_md_2048_pt_jum_mt_bat_45365e,success,0.001,0.01,2048,jumprelu,batchtopk,0.0089,627.4,0.0089,0.0012,0.0089,626.2,0.0089,0.0,0,0.4309,4.0,0.4309
l2_0.001_s2_0.01_md_2048_pt_jum_mt_jum_f60a49,success,0.001,0.01,2048,jumprelu,jumprelu,0.0088,629.7,0.0088,0.0,0.0089,626.2,0.0089,0.0,0,0.3163,18.3,0.3163
l2_0.001_s2_0.01_md_512_pt_bat_mt_bat_7e534e,success,0.001,0.01,512,batchtopk,batchtopk,0.0832,32.0,0.0807,0.0,0.0834,32.0,0.0809,0.0,26,0.7024,4.0,0.7024
l2_0.001_s2_0.01_md_512_pt_bat_mt_jum_3a19c9,unknown,0.001,0.01,512,batchtopk,jumprelu,0.0941,32.0,0.0913,0.0,,,,,,,,
l2_0.001_s2_0.01_md_512_pt_jum_mt_bat_7816e5,success,0.001,0.01,512,jumprelu,batchtopk,0.009,624.7,0.009,0.0,0.0089,626.2,0.0089,0.0,0,0.5961,4.0,0.5961
l2_0.001_s2_0.01_md_512_pt_jum_mt_jum_12f2a2,unknown,0.001,0.01,512,jumprelu,jumprelu,0.086,35.7,0.086,0.0,,,,,,,,
l2_0.001_s2_0.1_md_1024_pt_bat_mt_bat_e30d21,success,0.001,0.1,1024,batchtopk,batchtopk,0.083,32.0,0.0805,0.0041,0.0834,32.0,0.0809,0.0,26,0.6192,4.0,0.6192
l2_0.001_s2_0.1_md_1024_pt_bat_mt_jum_0bbd4c,success,0.001,0.1,1024,batchtopk,jumprelu,0.084,32.0,0.0805,0.9035,0.0834,32.0,0.0809,0.0,26,0.4195,35.8,0.4195
l2_0.001_s2_0.1_md_1024_pt_jum_mt_bat_c843a4,success,0.001,0.1,1024,jumprelu,batchtopk,0.009,626.8,0.009,0.0136,0.0089,626.2,0.0089,0.0,0,0.5245,4.0,0.5245
l2_0.001_s2_0.1_md_1024_pt_jum_mt_jum_c56be9,success,0.001,0.1,1024,jumprelu,jumprelu,0.0078,645.8,0.0075,0.361,0.0089,626.2,0.0089,0.0,0,0.4018,18.2,0.4018
l2_0.001_s2_0.1_md_2048_pt_bat_mt_bat_289373,success,0.001,0.1,2048,batchtopk,batchtopk,0.0833,32.0,0.0807,0.0129,0.0834,32.0,0.0809,0.0,26,0.5123,4.0,0.5123
l2_0.001_s2_0.1_md_2048_pt_bat_mt_jum_0f99e6,success,0.001,0.1,2048,batchtopk,jumprelu,0.083,32.0,0.0804,0.058,0.0834,32.0,0.0809,0.0,26,0.3977,19.3,0.3977
l2_0.001_s2_0.1_md_2048_pt_jum_mt_bat_a0c248,success,0.001,0.1,2048,jumprelu,batchtopk,0.0087,628.4,0.0087,0.0313,0.0089,626.2,0.0089,0.0,0,0.4309,4.0,0.4309
l2_0.001_s2_0.1_md_2048_pt_jum_mt_jum_037eb1,success,0.001,0.1,2048,jumprelu,jumprelu,0.0084,634.1,0.0083,0.0529,0.0089,626.2,0.0089,0.0,0,0.3163,18.3,0.3163
l2_0.001_s2_0.1_md_512_pt_bat_mt_bat_b2946b,success,0.001,0.1,512,batchtopk,batchtopk,0.0831,32.0,0.0806,0.0019,0.0834,32.0,0.0809,0.0,26,0.7024,4.0,0.7024
l2_0.001_s2_0.1_md_512_pt_bat_mt_jum_9f60ce,success,0.001,0.1,512,batchtopk,jumprelu,0.0833,32.0,0.0805,0.3357,0.0834,32.0,0.0809,0.0,26,0.1204,450.8,0.1204
l2_0.001_s2_0.1_md_512_pt_jum_mt_bat_d3004e,success,0.001,0.1,512,jumprelu,batchtopk,0.0077,643.3,0.0077,0.008,0.0089,626.2,0.0089,0.0,0,0.5961,4.0,0.5961
l2_0.001_s2_0.1_md_512_pt_jum_mt_jum_51cab8,success,0.001,0.1,512,jumprelu,jumprelu,0.0074,651.5,0.0071,0.3026,0.0089,626.2,0.0089,0.0,0,0.3564,29.1,0.3564
l2_0.001_s2_1.0_md_1024_pt_bat_mt_bat_92cd9e,success,0.001,1.0,1024,batchtopk,batchtopk,0.0838,32.0,0.0807,0.5382,0.0834,32.0,0.0809,0.0,26,0.6192,4.0,0.6192
l2_0.001_s2_1.0_md_1024_pt_bat_mt_jum_d62db6,success,0.001,1.0,1024,batchtopk,jumprelu,0.0841,32.0,0.0806,0.9902,0.0834,32.0,0.0809,0.0,26,0.4195,35.8,0.4195
l2_0.001_s2_1.0_md_1024_pt_jum_mt_bat_b74f05,success,0.001,1.0,1024,jumprelu,batchtopk,0.009,632.2,0.0084,0.5547,0.0089,626.2,0.0089,0.0,0,0.5245,4.0,0.5245
l2_0.001_s2_1.0_md_1024_pt_jum_mt_jum_1070f1,success,0.001,1.0,1024,jumprelu,jumprelu,0.0097,629.0,0.0088,0.9562,0.0089,626.2,0.0089,0.0,0,0.4018,18.2,0.4018
l2_0.001_s2_1.0_md_2048_pt_bat_mt_bat_0159e0,success,0.001,1.0,2048,batchtopk,batchtopk,0.0837,32.0,0.0806,0.596,0.0834,32.0,0.0809,0.0,26,0.5123,4.0,0.5123
l2_0.001_s2_1.0_md_2048_pt_bat_mt_jum_bb1b7f,success,0.001,1.0,2048,batchtopk,jumprelu,0.0838,32.0,0.0805,0.7488,0.0834,32.0,0.0809,0.0,26,0.3977,19.3,0.3977
l2_0.001_s2_1.0_md_2048_pt_jum_mt_bat_6c81bd,success,0.001,1.0,2048,jumprelu,batchtopk,0.0093,629.3,0.0087,0.6034,0.0089,626.2,0.0089,0.0,0,0.4309,4.0,0.4309
l2_0.001_s2_1.0_md_2048_pt_jum_mt_jum_18780a,success,0.001,1.0,2048,jumprelu,jumprelu,0.0092,633.9,0.0084,0.7522,0.0089,626.2,0.0089,0.0,0,0.3163,18.3,0.3163
l2_0.001_s2_1.0_md_512_pt_bat_mt_bat_ce9c8b,success,0.001,1.0,512,batchtopk,batchtopk,0.0837,32.0,0.0807,0.4972,0.0834,32.0,0.0809,0.0,26,0.7024,4.0,0.7024
l2_0.001_s2_1.0_md_512_pt_bat_mt_jum_bdaf03,success,0.001,1.0,512,batchtopk,jumprelu,0.0839,32.0,0.0805,0.8871,0.0834,32.0,0.0809,0.0,26,0.1204,450.8,0.1204
l2_0.001_s2_1.0_md_512_pt_jum_mt_bat_63feaf,success,0.001,1.0,512,jumprelu,batchtopk,0.0095,625.1,0.009,0.5211,0.0089,626.2,0.0089,0.0,0,0.5961,4.0,0.5961
l2_0.001_s2_1.0_md_512_pt_jum_mt_jum_17a35c,success,0.001,1.0,512,jumprelu,jumprelu,0.0096,629.3,0.0087,0.917,0.0089,626.2,0.0089,0.0,0,0.3564,29.1,0.3564
l2_0.01_s2_0.01_md_512_pt_bat_mt_bat_6a4df9,success,0.01,0.01,512,batchtopk,batchtopk,0.0833,32.0,0.0808,0.0,0.0834,32.0,0.0809,0.0,26,0.7024,4.0,0.7024
l2_0.01_s2_0.01_md_512_pt_bat_mt_jum_fbce0d,success,0.01,0.01,512,batchtopk,jumprelu,0.0833,32.0,0.0807,0.0018,0.0834,32.0,0.0809,0.0,26,0.1204,450.8,0.1204
l2_0.0_s2_0.01_md_1024_pt_bat_mt_bat_6a5abc,success,0.0,0.01,1024,batchtopk,batchtopk,0.0832,32.0,0.0807,0.0,0.0834,32.0,0.0809,0.0,26,0.6192,4.0,0.6192
