run_id,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_l2,joint_l0,joint_loss,joint_decomp,solo_l2,solo_l0,solo_loss,seq_meta_l2,seq_meta_l0,seq_meta_loss,joint_meta_l2_approx,l2_degradation,l2_degradation_pct,arch_combo,is_pareto_joint,norm_joint_l2,norm_seq_meta_l2,composite_score,composite_recon,composite_decomp
l2_0.1_s2_0.1_md_2048_pt_jum_mt_bat_944dee,0.1,0.1,2048,jumprelu,batchtopk,0.007494303863495588,643.909423828125,0.008943974040448666,0.01449669897556305,0.008923318237066269,626.2119140625,0.008923318237066269,0.4309370517730713,4.0,0.4309370517730713,0.42338343123310856,-0.0014290143735706806,-16.01438316561149,jum_bat,False,0.06672928261314391,0.5335612503098006,1.4668319676966566,0.8133578772637393,0.6534740904329173
l2_0.01_s2_0.01_md_512_pt_bat_mt_jum_fbce0d,0.01,0.01,512,batchtopk,jumprelu,0.0807,32.0,0.0833,0.0018,0.0809,32.0,0.0834,0.1204,450.8,0.1204,0.06319968614080018,-0.00020000000000000573,-0.2472187886279428,bat_jum,False,0.8078038046543051,0.0,0.19219619534569488,0.1345373367419864,0.05765885860370846
l2_0.1_s2_0.1_md_2048_pt_bat_mt_bat_76772f,0.1,0.1,2048,batchtopk,batchtopk,0.08132288604974747,32.0,0.08447744697332382,0.0061346678994596004,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.5093799334401883,0.0004530176520347595,0.5601810179866356,bat_bat,False,0.814109392961832,0.6733021532998182,0.8591927603379862,0.332114070916663,0.5270786894213232
l2_0.001_s2_1.0_md_2048_pt_bat_mt_bat_0159e0,0.001,1.0,2048,batchtopk,batchtopk,0.0806,32.0,0.0837,0.596,0.0809,32.0,0.0834,0.5123,4.0,0.5123,0.5175146119167874,-0.0002999999999999947,-0.37082818294189707,bat_bat,False,0.8067914865408905,0.6733581477717356,0.8665666612308451,0.3372534037528973,0.5293132574779478
l2_0.01_s2_1.0_md_2048_pt_bat_mt_bat_e3e1ca,0.01,1.0,2048,batchtopk,batchtopk,0.08087770640850067,32.0,0.08907736092805862,0.5672470331192017,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.5669603856237412,7.838010787963867e-06,0.009692127541765055,bat_bat,False,0.8096027588162562,0.6733021532998182,0.863699394483562,0.3352687148185661,0.5284306796649959
l2_0.0_s2_0.01_md_512_pt_bat_mt_bat_fb731c,0.0,0.01,512,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.9999858178187043,1.1921820131643992,0.43453308208759767,0.7576489310768014
l2_0.001_s2_1.0_md_1024_pt_jum_mt_jum_1070f1,0.001,1.0,1024,jumprelu,jumprelu,0.0088,629.0,0.0097,0.9562,0.0089,626.2,0.0089,0.4018,18.2,0.4018,0.044788182790134,-9.99999999999994e-05,-1.1235955056179707,jum_jum,False,0.07994708110913404,0.48349829748141465,1.4035512163722805,0.7890865324680305,0.61446468390425
l2_0.1_s2_0.1_md_512_pt_jum_mt_jum_363515,0.1,0.1,512,jumprelu,jumprelu,0.002494349842891097,722.46044921875,0.002888064133003354,0.003937141969799995,0.008923318237066269,626.2119140625,0.008923318237066269,0.35641220211982727,29.060955047607422,0.35641220211982727,0.5537300207269378,-0.006428968394175172,-72.04683530696124,jum_jum,True,0.016113842400157962,0.40551349648108037,1.3893996540809224,0.8103743592642134,0.5790252948167088
l2_0.01_s2_1.0_md_2048_pt_jum_mt_bat_ffdabc,0.01,1.0,2048,jumprelu,batchtopk,0.006172818597406149,664.764892578125,0.01073386799544096,0.45610493421554565,0.008923318237066269,626.2119140625,0.008923318237066269,0.4309370517730713,4.0,0.4309370517730713,0.7850323770473019,-0.00275049963966012,-30.823731336117913,jum_bat,False,0.05335164789841404,0.5335612503098006,1.4802096024113864,0.8227222215640503,0.6574873808473363
l2_0.0_s2_0.01_md_1024_pt_bat_mt_bat_6a5abc,0.0,0.01,1024,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.6192,4.0,0.6192,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.85703251877658,1.049228714122275,0.3916470923749604,0.6575816217473145
