lambda2,sigma_sq,meta_dict_size,joint_l2,solo_l2,joint_decomp,hung_cosine_mean,hung_cosine_median,hung_cosine_std,hung_l2_mean,hung_l2_median,hung_frac_above_0.9,hung_frac_above_0.95,hung_frac_above_0.99,solo_cosine_mean,solo_cosine_median,solo_cosine_std,solo_l2_mean,solo_l2_median,solo_frac_above_0.9,solo_frac_above_0.95,solo_frac_above_0.99,solo_orphan_count,solo_unique_targets,join_cosine_mean,join_cosine_median,join_cosine_std,join_l2_mean,join_l2_median,join_frac_above_0.9,join_frac_above_0.95,join_frac_above_0.99,join_orphan_count,join_unique_targets,dead_both,dead_solo_only,dead_joint_only
0.1,0.1,2048,0.08132288604974747,0.08086986839771271,0.0061346678994596004,0.71809465,0.80041826,0.24121808,0.67716455,0.63181937,0.2994791666666667,0.1416015625,0.008626302083333334,0.75433064,0.8031224,0.18882237,0.6422467,0.6275155,0.2996419270833333,0.1416015625,0.008626302083333334,2171,10117,0.7450864,0.8029056,0.2065005,0.6507234,0.627869,0.299560546875,0.1416015625,0.008626302083333334,2060,10228,0,0,0
0.001,1.0,2048,0.0806,0.0809,0.596,0.7363135,0.81475306,0.23161256,0.64951074,0.60871553,0.3368326822916667,0.178466796875,0.017659505208333332,0.7666118,0.8178885,0.18858647,0.6195261,0.60353225,0.3370768229166667,0.178466796875,0.017659505208333332,1996,10292,0.7667373,0.8178309,0.18818139,0.61946666,0.60363424,0.3369954427083333,0.178466796875,0.017659505208333332,1994,10294,0,0,0
0.01,1.0,2048,0.08087770640850067,0.08086986839771271,0.5672470331192017,0.7221665,0.795467,0.23202279,0.6738958,0.63960576,0.2928873697916667,0.14510091145833334,0.012939453125,0.7544632,0.7986441,0.18713987,0.64217204,0.6346159,0.2933756510416667,0.14518229166666666,0.012939453125,2071,10217,0.7511828,0.79833484,0.19082925,0.6457011,0.6351084,0.293212890625,0.14518229166666666,0.012939453125,1975,10313,0,0,0
0.0,0.01,512,0.0807,0.0809,0.0,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
0.0,0.01,1024,0.0807,0.0809,0.0,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
0.01,1.0,512,0.08071994036436081,0.08086986839771271,0.4800572395324707,0.7254648,0.8012489,0.23215617,0.66855305,0.6305139,0.303466796875,0.149169921875,0.012451171875,0.75755626,0.80477357,0.18710768,0.6370143,0.6248839,0.303955078125,0.149169921875,0.012451171875,2057,10231,0.75430495,0.8042239,0.19105907,0.64046293,0.6257746,0.3038736979166667,0.149169921875,0.012451171875,2007,10281,0,0,0
0.01,0.01,2048,0.08072224259376526,0.08086986839771271,0.0005610249354504049,0.73677653,0.8198614,0.23317063,0.64860445,0.6002538,0.3391927083333333,0.17838541666666666,0.013427734375,0.7675514,0.8221928,0.18881139,0.61833435,0.59635055,0.33984375,0.178466796875,0.013427734375,2014,10274,0.7677997,0.82221854,0.18836233,0.61809677,0.5963166,0.3397623697916667,0.178466796875,0.013427734375,2004,10284,0,0,0
0.1,0.01,512,0.08075128495693207,0.08086986839771271,1.695888980461635e-12,0.7369043,0.8191446,0.23311074,0.64852595,0.6014427,0.3409016927083333,0.17781575520833334,0.013102213541666666,0.7676315,0.8213,0.18872385,0.6183167,0.59784424,0.3413899739583333,0.17789713541666666,0.013102213541666666,2031,10257,0.76819354,0.821319,0.18772036,0.61778384,0.5978186,0.34130859375,0.17789713541666666,0.013102213541666666,1993,10295,0,0,0
0.001,0.1,2048,0.0807,0.0809,0.0129,0.7363265,0.8172282,0.23197818,0.6501174,0.604623,0.335693359375,0.176025390625,0.013590494791666666,0.7670017,0.81953204,0.18802257,0.6198536,0.6008094,0.3360188802083333,0.176025390625,0.013590494791666666,2019,10269,0.7665208,0.81965077,0.1887352,0.62034756,0.6006104,0.3359375,0.176025390625,0.013590494791666666,1993,10295,0,0,0
0.001,0.01,512,0.0807,0.0809,0.0,0.7366579,0.81930995,0.2325768,0.6494081,0.6011733,0.340087890625,0.17561848958333334,0.011800130208333334,0.7672183,0.8218618,0.18853028,0.6193137,0.5969119,0.3406575520833333,0.17561848958333334,0.011800130208333334,2011,10277,0.76749724,0.82204676,0.1879589,0.61906576,0.5966011,0.340576171875,0.17561848958333334,0.011800130208333334,1987,10301,0,0,0
