lambda2,sigma_sq,meta_dict_size,joint_l2,solo_l2,joint_decomp,hung_cosine_mean,hung_cosine_median,hung_cosine_std,hung_l2_mean,hung_l2_median,hung_frac_above_0.9,hung_frac_above_0.95,hung_frac_above_0.99,solo_cosine_mean,solo_cosine_median,solo_cosine_std,solo_l2_mean,solo_l2_median,solo_frac_above_0.9,solo_frac_above_0.95,solo_frac_above_0.99,solo_orphan_count,solo_unique_targets,join_cosine_mean,join_cosine_median,join_cosine_std,join_l2_mean,join_l2_median,join_frac_above_0.9,join_frac_above_0.95,join_frac_above_0.99,join_orphan_count,join_unique_targets,dead_both,dead_solo_only,dead_joint_only
0.001,1.0,1024,0.0088,0.0089,0.9562,0.5020729,0.5774833,0.21429847,0.9751304,0.9192889,0.00390625,0.0008138020833333334,0.0,0.53203076,0.58905816,0.18887106,0.9483326,0.90660053,0.003987630208333333,0.0008138020833333334,0.0,3154,9134,0.5250479,0.5876876,0.1966785,0.95439035,0.9081042,0.003987630208333333,0.0008138020833333334,0.0,3121,9167,0,0,0
0.1,0.1,512,0.002494349842891097,0.008923318237066269,0.003937141969799995,0.15587664,0.13063964,0.10761729,1.2950867,1.3185992,0.0011393229166666667,0.0,0.0,0.22731169,0.18901962,0.1180738,1.2380059,1.2735796,0.0011393229166666667,0.0,0.0,10081,2207,0.16319017,0.13616335,0.10803028,1.2893678,1.3143861,0.0011393229166666667,0.0,0.0,5464,6824,0,0,0
0.001,0.1,512,0.0071,0.0089,0.3026,0.46229538,0.5015288,0.19092391,1.0198747,0.9984857,0.004231770833333333,0.0009765625,0.0,0.49748012,0.52048635,0.15905546,0.98914,0.9793192,0.004313151041666667,0.0009765625,0.0,3270,9018,0.4798797,0.5091784,0.17433581,1.0046979,0.99078834,0.004313151041666667,0.0009765625,0.0,2573,9715,0,0,0
0.0,1.0,512,0.009,0.0089,0.9666,0.5625434,0.60759246,0.21493965,0.8932739,0.8859366,0.06778971354166667,0.0634765625,0.046468098958333336,0.5874334,0.6142431,0.18994634,0.87056357,0.87837017,0.06795247395833333,0.0634765625,0.046468098958333336,2504,9784,0.5857475,0.6130611,0.19081172,0.87228554,0.8797306,0.06795247395833333,0.0634765625,0.046468098958333336,2487,9801,0,0,0
0.001,1.0,512,0.0087,0.0089,0.917,0.49706712,0.5748446,0.21738356,0.97994024,0.9221467,0.003987630208333333,0.0009765625,0.0,0.5288958,0.5846983,0.18842646,0.9518202,0.91139543,0.004069010416666667,0.0009765625,0.0,3161,9127,0.520987,0.5836884,0.19740304,0.9586385,0.912504,0.004069010416666667,0.0009765625,0.0,3193,9095,0,0,0
0.01,1.0,1024,0.004689856898039579,0.008923318237066269,0.8365168571472168,0.22728615,0.14399022,0.17518404,1.2321264,1.3084722,0.0022786458333333335,0.0004069010416666667,0.0,0.3227614,0.27177286,0.15274753,1.1542639,1.2068629,0.0022786458333333335,0.0004069010416666667,0.0,8495,3793,0.2382461,0.15392786,0.1729513,1.2233244,1.3008454,0.0022786458333333335,0.0004069010416666667,0.0,5383,6905,0,0,0
0.001,1.0,2048,0.0084,0.0089,0.7522,0.4921855,0.56744885,0.21671236,0.9849164,0.9301238,0.004231770833333333,0.0010579427083333333,0.0,0.5250704,0.57986206,0.18821229,0.9558072,0.91668403,0.00439453125,0.0010579427083333333,0.0,3207,9081,0.51103085,0.57590985,0.20280181,0.9680473,0.92100006,0.00439453125,0.0010579427083333333,0.0,2848,9440,0,0,0
0.1,0.01,512,0.0071050627157092094,0.008923318237066269,0.0007120586815290153,0.49688885,0.51344085,0.20589599,0.9654091,0.9864758,0.06453450520833333,0.062418619791666664,0.046468098958333336,0.5198561,0.5233305,0.18556744,0.9451913,0.9764054,0.06453450520833333,0.062418619791666664,0.046468098958333336,2743,9545,0.518258,0.5203209,0.185874,0.946785,0.9794916,0.06453450520833333,0.062418619791666664,0.046468098958333336,2602,9686,0,0,0
0.01,0.01,1024,0.008417944423854351,0.008923318237066269,0.006762388627976179,0.5280542,0.56063414,0.20987345,0.9340542,0.9374235,0.064697265625,0.061197916666666664,0.035970052083333336,0.55325615,0.5695032,0.18657847,0.9113867,0.92791295,0.064697265625,0.061197916666666664,0.035970052083333336,2682,9606,0.5498113,0.5663811,0.18833597,0.91477156,0.9312738,0.064697265625,0.061197916666666664,0.035970052083333336,2537,9751,0,0,0
0.001,0.1,1024,0.0075,0.0089,0.361,0.4285911,0.4606855,0.20815839,1.049757,1.0385926,0.0033365885416666665,0.000732421875,0.0,0.46735132,0.48774892,0.18104443,1.0161337,1.0122063,0.00341796875,0.000732421875,0.0,3949,8339,0.44657025,0.47321433,0.19542752,1.03431,1.0264587,0.00341796875,0.000732421875,0.0,3188,9100,0,0,0
0.01,0.1,512,0.0036996505223214626,0.008923318237066269,0.029043331742286682,0.17866619,0.12776709,0.13638407,1.2750626,1.320806,0.002197265625,0.00048828125,0.0,0.26281258,0.21955185,0.13128728,1.2075305,1.2493912,0.0022786458333333335,0.00048828125,0.0,9409,2879,0.19195664,0.1385404,0.13418147,1.2646735,1.3126225,0.0022786458333333335,0.00048828125,0.0,6131,6157,0,0,0
0.1,0.01,2048,0.008274889551103115,0.008923318237066269,7.697698833908362e-07,0.56203264,0.6053214,0.21434772,0.8938308,0.88848907,0.06787109375,0.06380208333333333,0.046875,0.5864211,0.6113374,0.18970197,0.87160975,0.88169366,0.06803385416666667,0.06380208333333333,0.046875,2503,9785,0.5854483,0.6104239,0.1904076,0.8725662,0.8827116,0.06795247395833333,0.06380208333333333,0.046875,2513,9775,0,0,0
0.0,0.1,1024,0.009,0.0089,0.9091,0.5625434,0.60759246,0.21493965,0.8932739,0.8859366,0.06778971354166667,0.0634765625,0.046468098958333336,0.5874334,0.6142431,0.18994634,0.87056357,0.87837017,0.06795247395833333,0.0634765625,0.046468098958333336,2504,9784,0.5857475,0.6130611,0.19081172,0.87228554,0.8797306,0.06795247395833333,0.0634765625,0.046468098958333336,2487,9801,0,0,0
0.0,0.01,1024,0.009,0.0089,0.6709,0.5625434,0.60759246,0.21493965,0.8932739,0.8859366,0.06778971354166667,0.0634765625,0.046468098958333336,0.5874334,0.6142431,0.18994634,0.87056357,0.87837017,0.06795247395833333,0.0634765625,0.046468098958333336,2504,9784,0.5857475,0.6130611,0.19081172,0.87228554,0.8797306,0.06795247395833333,0.0634765625,0.046468098958333336,2487,9801,0,0,0
0.1,0.01,1024,0.008015399798750877,0.008923318237066269,0.000783136987593025,0.49831557,0.51809955,0.2026583,0.97021276,0.98175323,0.059488932291666664,0.052734375,0.013753255208333334,0.52213216,0.52739596,0.18137741,0.94918364,0.97226274,0.059488932291666664,0.052734375,0.013753255208333334,2741,9547,0.5194279,0.5245384,0.18265036,0.9517905,0.9751818,0.059488932291666664,0.052734375,0.013753255208333334,2607,9681,0,0,0
0.1,0.1,1024,0.0009025732870213687,0.008923318237066269,0.7443548440933228,0.1379029,0.11862614,0.0985187,1.3099207,1.3277783,0.0003255208333333333,0.0,0.0,0.20464535,0.17284589,0.10573232,1.2573899,1.286215,0.0003255208333333333,0.0,0.0,10175,2113,0.16109602,0.1412299,0.09310846,1.2923487,1.3106539,0.0003255208333333333,0.0,0.0,8651,3637,0,0,0
0.0,0.01,512,0.009,0.0089,0.6943,0.5625434,0.60759246,0.21493965,0.8932739,0.8859366,0.06778971354166667,0.0634765625,0.046468098958333336,0.5874334,0.6142431,0.18994634,0.87056357,0.87837017,0.06795247395833333,0.0634765625,0.046468098958333336,2504,9784,0.5857475,0.6130611,0.19081172,0.87228554,0.8797306,0.06795247395833333,0.0634765625,0.046468098958333336,2487,9801,0,0,0
0.01,1.0,2048,0.006090438924729824,0.008923318237066269,0.9849666357040405,0.35782373,0.35166085,0.2082933,1.1159571,1.1387312,0.0033365885416666665,0.000732421875,0.0,0.41477123,0.40817702,0.17399189,1.0681609,1.087986,0.0033365885416666665,0.000732421875,0.0,5128,7160,0.37297046,0.36701256,0.19943188,1.1033648,1.1251688,0.0033365885416666665,0.000732421875,0.0,3959,8329,0,0,0
0.0,0.1,512,0.009,0.0089,0.857,0.5625434,0.60759246,0.21493965,0.8932739,0.8859366,0.06778971354166667,0.0634765625,0.046468098958333336,0.5874334,0.6142431,0.18994634,0.87056357,0.87837017,0.06795247395833333,0.0634765625,0.046468098958333336,2504,9784,0.5857475,0.6130611,0.19081172,0.87228554,0.8797306,0.06795247395833333,0.0634765625,0.046468098958333336,2487,9801,0,0,0
0.001,0.01,2048,0.0088,0.0089,0.0,0.56237316,0.6084441,0.21536842,0.8933451,0.88494384,0.067138671875,0.06363932291666667,0.046956380208333336,0.58740216,0.61440325,0.19005644,0.8705566,0.8782024,0.06730143229166667,0.06363932291666667,0.046956380208333336,2484,9804,0.5852081,0.61340654,0.19189335,0.8726673,0.8793403,0.06730143229166667,0.06363932291666667,0.046956380208333336,2489,9799,0,0,0
0.01,0.1,2048,0.0022662165574729443,0.008923318237066269,0.9785224199295044,0.18230425,0.1543935,0.118516006,1.2738316,1.3005315,0.0011393229166666667,8.138020833333333e-05,0.0,0.24051178,0.20458877,0.11895867,1.2271398,1.261342,0.0011393229166666667,8.138020833333333e-05,0.0,8836,3452,0.21557163,0.18730515,0.11234828,1.2477155,1.2749808,0.0011393229166666667,8.138020833333333e-05,0.0,7321,4967,0,0,0
0.0,1.0,2048,0.009,0.0089,0.7634,0.5625434,0.60759246,0.21493965,0.8932739,0.8859366,0.06778971354166667,0.0634765625,0.046468098958333336,0.5874334,0.6142431,0.18994634,0.87056357,0.87837017,0.06795247395833333,0.0634765625,0.046468098958333336,2504,9784,0.5857475,0.6130611,0.19081172,0.87228554,0.8797306,0.06795247395833333,0.0634765625,0.046468098958333336,2487,9801,0,0,0
0.001,0.1,2048,0.0083,0.0089,0.0529,0.5003779,0.57434005,0.2138765,0.977065,0.9226996,0.003662109375,0.0009765625,0.0,0.5305298,0.5850605,0.18736227,0.9502869,0.9109918,0.0037434895833333335,0.0009765625,0.0,3124,9164,0.5210618,0.5823206,0.198059,0.95849043,0.91400576,0.0037434895833333335,0.0009765625,0.0,2854,9434,0,0,0
0.01,0.1,1024,0.0019875438883900642,0.008923318237066269,0.6260095834732056,0.15699668,0.12923315,0.1145147,1.2937813,1.3197243,0.00146484375,0.000244140625,0.0,0.23272447,0.19956234,0.11604011,1.2337061,1.2652683,0.00146484375,0.000244140625,0.0,10211,2077,0.17622685,0.14726621,0.111914404,1.2789264,1.3059998,0.00146484375,0.000244140625,0.0,7902,4386,0,0,0
